#format table ## [Custom WaveView] saved 13:12:48 Thu Mar 14 2024
TIME ,v(0):ALTER=1 ,v(0):ALTER=2 ,v(0):ALTER=3 ,v(0):ALTER=4 ,v(0):ALTER=5 ,v(in):ALTER=1 ,v(in):ALTER=2 ,v(in):ALTER=3 ,v(in):ALTER=4 ,v(in):ALTER=5 ,v(vdd!):ALTER=1 ,v(vdd!):ALTER=2 ,v(vdd!):ALTER=3 ,v(vdd!):ALTER=4 ,v(vdd!):ALTER=5 ,i(vdd):ALTER=1 ,i(vdd):ALTER=2 ,i(vdd):ALTER=3 ,i(vdd):ALTER=4 ,i(vdd):ALTER=5 ,i(vin):ALTER=1 ,i(vin):ALTER=2 ,i(vin):ALTER=3 ,i(vin):ALTER=4 ,i(vin):ALTER=5 ,v(out):ALTER=1 ,v(out):ALTER=2 ,v(out):ALTER=3 ,v(out):ALTER=4 ,v(out):ALTER=5 
 2.267E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.159E-04 ,-1.269E-04 ,-1.264E-04 ,-1.011E-04 ,-1.029E-04 ,-3.784E-05 ,-4.164E-05 ,-4.236E-05 ,-3.263E-05 ,-3.346E-05 , 1.278E+00 , 1.134E+00 , 9.621E-01 , 1.503E+00 , 1.388E+00 
 2.458E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.108E-04 ,-1.169E-04 ,-1.086E-04 ,-9.955E-05 ,-1.007E-04 ,-3.653E-05 ,-3.904E-05 ,-3.775E-05 ,-3.217E-05 ,-3.297E-05 , 1.073E+00 , 9.172E-01 , 7.385E-01 , 1.345E+00 , 1.207E+00 
 2.459E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.108E-04 ,-1.169E-04 ,-1.085E-04 ,-9.953E-05 ,-1.007E-04 ,-3.652E-05 ,-3.903E-05 ,-3.772E-05 ,-3.217E-05 ,-3.297E-05 , 1.072E+00 , 9.161E-01 , 7.374E-01 , 1.345E+00 , 1.206E+00 
 2.673E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.050E-04 ,-1.058E-04 ,-8.867E-05 ,-9.583E-05 ,-9.512E-05 ,-3.505E-05 ,-3.612E-05 ,-3.256E-05 ,-3.119E-05 ,-3.150E-05 , 8.422E-01 , 6.733E-01 , 4.874E-01 , 1.169E+00 , 1.011E+00 
 2.741E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.005E-04 ,-1.023E-04 ,-8.239E-05 ,-9.466E-05 ,-9.335E-05 ,-3.390E-05 ,-3.521E-05 ,-3.093E-05 ,-3.088E-05 ,-3.104E-05 , 7.817E-01 , 5.966E-01 , 4.083E-01 , 1.113E+00 , 9.494E-01 
 2.764E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-9.891E-05 ,-1.011E-04 ,-7.884E-05 ,-9.426E-05 ,-9.274E-05 ,-3.351E-05 ,-3.489E-05 ,-3.018E-05 ,-3.077E-05 ,-3.088E-05 , 7.609E-01 , 5.701E-01 , 3.923E-01 , 1.094E+00 , 9.282E-01 
 3.033E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-8.079E-05 ,-6.622E-05 ,-3.779E-05 ,-8.960E-05 ,-8.567E-05 ,-2.894E-05 ,-2.738E-05 ,-2.150E-05 ,-2.954E-05 ,-2.903E-05 , 5.203E-01 , 3.602E-01 , 2.075E-01 , 8.727E-01 , 6.829E-01 
 3.103E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-7.612E-05 ,-5.723E-05 ,-3.441E-05 ,-8.840E-05 ,-8.385E-05 ,-2.776E-05 ,-2.544E-05 ,-1.917E-05 ,-2.922E-05 ,-2.855E-05 , 4.582E-01 , 3.061E-01 , 1.850E-01 , 8.156E-01 , 6.196E-01 
 3.125E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-7.466E-05 ,-5.442E-05 ,-3.335E-05 ,-8.748E-05 ,-8.328E-05 ,-2.739E-05 ,-2.483E-05 ,-1.844E-05 ,-2.899E-05 ,-2.840E-05 , 4.388E-01 , 2.892E-01 , 1.780E-01 , 8.006E-01 , 5.998E-01 
 3.143E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-7.344E-05 ,-5.207E-05 ,-3.247E-05 ,-8.671E-05 ,-8.193E-05 ,-2.708E-05 ,-2.433E-05 ,-1.783E-05 ,-2.879E-05 ,-2.809E-05 , 4.226E-01 , 2.750E-01 , 1.721E-01 , 7.880E-01 , 5.878E-01 
